ID,칸,운행,분담률,총능력,필요물량,실행가능,n,총비용,단위비용,라스트마일비중,철도비중,철도운행비중,철도하역비중,심도비중,고정비중
S22,2,15,0.08,450000,96814.424,True,13.0,8227642.286724479,84.98364135001701,0.7694857268403108,0.0689126525730039,0.0618524702782866,0.0070601822947173,0.0310841963684613,0.130517424218224
S25,3,5,0.04,324000,48407.212,True,12.0,4238650.1035563545,87.56236784626957,0.721940477698837,0.0684520590544995,0.0615998003187215,0.0068522587357779,0.0285727832386978,0.1810346800079657
S26,3,5,0.08,324000,96814.424,True,15.0,7438474.380220521,76.83229495039419,0.7581598641719498,0.0633842503829101,0.0557166268746111,0.007667623508299,0.0435433965513705,0.1349124888937697
S27,3,5,0.12,324000,145221.636,True,18.0,11126944.0163073,76.62042876522408,0.7656853025533964,0.0591613326204652,0.0514134778724798,0.0077478547479854,0.0404546536125902,0.1346987112135481
S28,3,5,0.16,324000,193628.848,True,22.0,15194205.92367394,78.47077581990231,0.7954351794186437,0.0523745233232579,0.0447626845634838,0.007611838759774,0.0369288974151255,0.115261399842973
S29,3,10,0.04,540000,48407.212,True,10.0,4231707.066133047,87.4189380320653,0.737364191973924,0.093873304789739,0.0870098034305722,0.0068635013591668,0.0407696543737311,0.1279928488626059
S30,3,10,0.08,540000,96814.424,True,12.0,7651075.875204016,79.02826416861207,0.8078443434116482,0.0656834021120177,0.0581128736650161,0.0075705284470015,0.0334038246398318,0.0930684298365022
S31,3,10,0.12,540000,145221.636,True,13.0,12123400.926684804,83.48205722379276,0.8335880358483732,0.0491638431496621,0.0419766700018854,0.0071871731477766,0.0277403270481762,0.0895077939537885
S33,3,15,0.04,675000,48407.212,True,11.0,4147188.7009638753,85.67295098432596,0.6975123247318129,0.0784011412657521,0.0713977639674754,0.0070033772982766,0.0417021130964704,0.1823844209059645
S34,3,15,0.08,675000,96814.424,True,13.0,7708230.58905734,79.61861745990804,0.7776608884361623,0.0762806259940787,0.0687447000810081,0.0075359259130705,0.0325074448496283,0.1135510407201305
S37,4,5,0.04,432000,48407.212,True,12.0,4110141.238158319,84.90762157833669,0.7245983098049147,0.0705923009424387,0.0635257975020328,0.0070665034404059,0.0322366392715423,0.1725727499811043
S38,4,5,0.08,432000,96814.424,True,15.0,7185663.574014827,74.22100217230881,0.7564867648599563,0.0560886826306224,0.0482129140560654,0.0078757685745569,0.051274309750361,0.1361502427590602
S39,4,5,0.12,432000,145221.636,True,18.0,10640331.854295809,73.2696046358809,0.7585332422615958,0.0690554357263708,0.060957536774087,0.0080978989522838,0.0389722757440631,0.13343904626797
S40,4,5,0.16,432000,193628.848,True,20.0,14488595.99931476,74.82663946497662,0.7959912694801382,0.0503191608635541,0.0423041806471103,0.0080149802164437,0.0410462495394848,0.112643320116823
S41,4,10,0.04,720000,48407.212,True,9.0,4135045.02036877,85.4220858736663,0.7684822774794888,0.0716907133247034,0.0646667687250846,0.0070239445996188,0.0403236969354606,0.119503312260347
S42,4,10,0.08,720000,96814.424,True,14.0,7362546.766242015,76.0480356340499,0.7984029695096019,0.0676346118039545,0.0598391911081355,0.0077954206958189,0.0384553745703056,0.0955070441161379
S43,4,10,0.12,720000,145221.636,True,15.0,11371341.98196572,78.30335957629427,0.8130547973133914,0.0519911544595774,0.0443906617943421,0.0076004926652352,0.0299481829669548,0.1050058652600765
S44,4,10,0.16,720000,193628.848,True,17.0,16820339.19742725,86.86897314715858,0.8340979760101663,0.0501878885337295,0.0432809345551932,0.0069069539785362,0.0245722514834334,0.0911418839726705
S45,4,15,0.04,900000,48407.212,True,22.0,4159393.921157504,85.92508738486126,0.5708588710264636,0.1141859454051972,0.1072031186399175,0.0069828267652796,0.042017492455248,0.272937691113091
S46,4,15,0.08,900000,96814.424,True,16.0,7382652.113228629,76.25570455522856,0.780033857748902,0.0670484381238648,0.0593205785526717,0.007727859571193,0.0405545859847719,0.1123631181424612
S47,4,15,0.12,900000,145221.636,True,17.0,12401264.596843166,85.39543375508569,0.7832742228420029,0.0657298274086901,0.0587036906046918,0.0070261368039982,0.0309538066234351,0.1200421431258719
SMAX,4,5,0.2289999999999999,432000,277131.2887,True,27.0,24010991.17356533,86.64121357858548,0.8312962364288458,0.0448244208504361,0.0378993100877008,0.0069251107627353,0.0305339149725811,0.093345427748137
