역명,노선,위도,경도,서울내,경계에서_안쪽_m
사당,24,37.4767465,126.9815975,True,1714.4963596565888
삼각지,4,37.534075,126.9726,True,7728.399549927552
삼성,2,37.508844,127.06316,True,5538.695021756627
상계,4,37.660878,127.073572,True,1564.8408299294938
상왕십리,2,37.564354,127.029354,True,6348.981043766714
서울대입구,2,37.481247,126.952739,True,3548.718828486706
서울역,14,37.554519,126.9723455,True,7519.259851963953
서초,2,37.491897,127.007917,True,2708.362339742919
선릉,2,37.504286,127.048203,True,4535.477067846046
성수,2,37.544581,127.055961,True,4373.585703400515
성신여대입구,4,37.592612,127.016441,True,5597.241997443809
수서,3,37.487378,127.101907,True,2795.9332718812243
수유,4,37.638052,127.025732,True,3503.7022809472055
숙대입구,4,37.54456,126.972106,True,8134.127731736003
시청,12,37.5646515,126.9762495,True,7310.815599156281
신답,2,37.57004,127.046481,True,4822.223319211367
신당,2,37.56564,127.019614,True,7216.534935754416
신대방,2,37.487462,126.913149,True,3215.0335640344947
신도림,2,37.508961,126.891084,True,2460.823828329734
신림,2,37.484201,126.929715,True,3772.6693383356264
신사,3,37.516334,127.020114,True,5585.783648411841
신설동,12,37.5753975,127.024783,True,6722.516354927912
신용산,4,37.52917,126.967894,True,7342.571343901905
신정네거리,2,37.520074,126.852912,True,2243.99019484024
신촌,2,37.555131,126.936926,True,5064.46334670187
쌍문,4,37.648627,127.034709,True,4115.880860871024
아현,2,37.557345,126.956141,True,6153.852139325277
안국,3,37.576477,126.985443,True,6190.843830387309
압구정,3,37.527072,127.028461,True,6821.400027278641
약수,3,37.554867,127.010541,True,8029.790138870935
양재,3,37.484477,127.033902,True,2105.0550903720214
양천구청,2,37.512398,126.865819,True,1927.8297405932433
역삼,2,37.500622,127.036456,True,3910.368601936408
연신내,3,37.619229,126.921038,True,1264.819781526435
영등포구청,2,37.525706,126.89661,True,4214.635652955314
오금,3,37.502129,127.128319,True,1182.0463580001847
옥수,3,37.541684,127.017269,True,7707.616166208722
왕십리,2,37.561238,127.036954,True,5667.3339914137305
용답,2,37.561904,127.050899,True,4436.668052783127
용두,2,37.574028,127.038091,True,5545.321601775059
을지로3가,23,37.566489,126.992122,True,7384.386544612876
을지로4가,2,37.566595,126.997817,True,7489.9115410643435
을지로입구,2,37.566014,126.982618,True,7269.167925959573
이대,2,37.556733,126.946013,True,5499.068243676772
이촌,4,37.522295,126.974733,True,6423.398937092066
일원,3,37.483681,127.08439,True,2967.3947525735393
잠실,2,37.513262,127.100159,True,3554.420924236469
잠실나루,2,37.520733,127.10379,True,3303.8345399628142
잠실새내,2,37.511687,127.086162,True,4765.356903917702
잠원,3,37.512759,127.01122,True,5041.128630148013
제기동,1,37.578103,127.034893,True,5843.261311751805
종각,1,37.570161,126.982923,True,6828.708304170562
종로3가,13,37.5710055,126.991819,True,6888.480375187156
종로5가,1,37.570926,127.001849,True,7135.8179062130375
종합운동장,2,37.511022,127.073704,True,5742.906634339416
지축,3,37.648033,126.913917,False,-335.82620288841406
창동,41,37.653088,127.047274,True,3652.7451605175324
청량리,1,37.579956,127.044585,True,5011.024506992632
총신대입구,4,37.486263,126.981989,True,2497.387262755723
충무로,34,37.5613185,126.994076,True,7981.1537405920935
충정로,2,37.559704,126.964378,True,6619.731467314437
학여울,3,37.496663,127.070594,True,4808.139131488947
한성대입구,4,37.588458,127.006221,True,5512.435493915021
한양대,2,37.555273,127.043655,True,5115.983590761293
합정,2,37.549457,126.913808,True,4590.029760470995
혜화,4,37.582336,127.001844,True,5952.6067188197585
홍대입구,2,37.55679,126.923708,True,4235.863512542794
홍제,3,37.589066,126.943736,True,3760.5613991156047
회현,4,37.558514,126.978246,True,7758.9828405693215
가산디지털단지,1,37.481568,126.882628,True,732.4645915736119
개봉,1,37.494698,126.858504,True,560.5235514374261
광운대,1,37.62357,127.06181,True,3712.6534331475177
구로,1,37.503178,126.882037,True,1480.4036626931234
구일,1,37.495973,126.869201,True,122.00721243272864
금천구청,1,37.45576,126.894344,True,332.13678123444674
남영,1,37.540597,126.971171,True,8350.141230128016
노량진,1,37.514072,126.941671,True,6394.826047302843
녹천,1,37.644599,127.051406,True,3666.3282105729936
대방,1,37.513392,126.926407,True,5178.289511799264
도봉산,1,37.689603,127.046047,True,309.0208092965752
도봉,1,37.679441,127.045521,True,882.7597368778271
독산,1,37.465994,126.889508,True,402.53056568794545
방학,1,37.667471,127.044295,True,2139.9189616221247
석계,1,37.615206,127.065594,True,3469.7683269000695
신길,1,37.517018,126.917743,True,4782.726530880205
신도림,1,37.508983,126.891513,True,2485.706158200477
신이문,1,37.601829,127.067347,True,3916.6804079185335
영등포,1,37.515756,126.907411,True,3992.143706803348
오류동,1,37.4944,126.844551,True,1388.4310147522542
온수,1,37.492267,126.823399,True,258.3774625306055
외대앞,1,37.596157,127.063572,True,3911.9039013380198
용산,1,37.52989,126.964775,True,7517.473916739165
월계,1,37.633114,127.058835,True,3399.392241862409
회기,1,37.589602,127.057936,True,4099.702092464828
