ID,허브,트럭번호,방문순서,방문행정동수,경로거리_km
S25,양천구청,40,화곡1동 -> 신월3동 -> 신월7동 -> 신월6동,4,11.79
S25,양천구청,41,화곡1동,1,7.78
S25,양천구청,42,수궁동 -> 항동,2,12.86
S25,양천구청,43,문래동,1,7.25
S25,양천구청,44,화곡2동 -> 화곡8동,2,7.88
S25,양천구청,45,목5동,1,6.87
S25,양천구청,46,당산1동 -> 영등포동,2,10.05
S25,양천구청,47,구로5동 -> 신길4동,2,11.5
S25,양천구청,48,신정7동 -> 오류1동,2,6.76
S25,양천구청,49,개봉3동 -> 개봉2동,2,7.49
S25,양천구청,50,신정3동,1,5.2
S25,양천구청,51,목1동,1,5.14
S25,양천구청,52,신도림동,1,4.78
S25,양천구청,53,신정4동,1,3.78
S25,양천구청,54,고척2동,1,3.3
S25,양천구청,55,신정1동 -> 신월2동,2,5.12
S25,양천구청,56,구로1동 -> 고척1동,2,7.22
S25,양천구청,57,신정6동 -> 신정2동,2,3.38
S25,청량리,1,능동 -> 구의2동 -> 장안1동,3,13.87
S25,청량리,2,길음1동 -> 돈암2동,2,10.83
S25,청량리,3,장안2동,1,6.44
S25,청량리,4,화양동,1,14.52
S25,청량리,5,자양4동 -> 약수동 -> 금호1가동,3,20.41
S25,청량리,6,망우3동 -> 망우본동,2,14.58
S25,청량리,7,정릉3동 -> 정릉2동 -> 동선동,3,14.44
S25,청량리,8,장위3동 -> 삼각산동,2,15.18
S25,청량리,9,성수2가3동,1,11.16
S25,청량리,10,성수2가3동,1,11.16
S25,청량리,11,성수2가3동,1,11.16
S25,청량리,12,성수1가1동,1,10.55
S25,청량리,13,중화1동 -> 상봉1동,2,11.05
S25,청량리,14,광장동,1,15.34
S25,청량리,15,면목5동 -> 면목본동,2,10.67
S25,청량리,16,군자동 -> 중곡2동,2,11.86
S25,청량리,17,송천동 -> 정릉4동 -> 돈암1동,3,15.9
S25,청량리,18,다산동,1,10.08
S25,청량리,19,면목4동 -> 중곡4동,2,13.67
S25,청량리,20,용신동 -> 보문동,2,5.88
S25,청량리,21,월곡1동 -> 청량리동,2,7.51
S25,청량리,22,청구동 -> 금호2·3가동,2,10.38
S25,청량리,23,묵2동 -> 상봉2동,2,12.28
S25,청량리,24,옥수동 -> 성수1가2동,2,12.66
S25,청량리,25,광희동 -> 창신1동,2,8.91
S25,청량리,26,면목7동 -> 면목3·8동,2,12.53
S25,청량리,27,길음2동 -> 정릉1동,2,10.12
S25,청량리,28,면목2동 -> 중화2동,2,9.79
S25,청량리,29,석관동,1,7.96
S25,청량리,30,돈암1동,1,7.74
S25,청량리,31,응봉동 -> 금호4가동 -> 성수2가1동,3,14.28
S25,청량리,32,삼양동 -> 송중동,2,13.04
S25,청량리,33,신당동 -> 동화동 -> 신당5동,3,8.36
S25,청량리,34,제기동,1,1.92
S25,청량리,35,장안1동,1,6.77
S25,청량리,36,중곡3동 -> 중곡1동 -> 송정동,3,12.34
S25,청량리,37,왕십리2동 -> 황학동,2,7.52
S25,청량리,38,장위1동 -> 월곡2동,2,9.1
S25,청량리,39,행당1동 -> 행당2동,2,6.69
S25,청량리,40,혜화동 -> 이화동 -> 종로5·6가동,3,10.88
S25,청량리,41,휘경1동 -> 이문2동 -> 장위2동,3,10.37
S25,청량리,42,종암동,1,4.94
S25,청량리,43,휘경2동 -> 전농2동,2,8.09
S25,청량리,44,숭인2동 -> 성북동,2,12.28
S25,청량리,45,왕십리도선동,1,4.55
S25,청량리,46,안암동,1,4.17
S25,청량리,47,사근동 -> 마장동,2,6.63
S25,청량리,48,회기동 -> 이문1동,2,6.04
S25,청량리,49,용답동 -> 답십리2동,2,7.2
S25,청량리,50,용신동,1,2.78
S25,청량리,51,삼선동 -> 창신2동 -> 창신3동 -> 숭인1동,4,8.9
S25,청량리,52,전농1동,1,2.4
S25,청량리,53,답십리1동,1,3.34
S25,총신대입구,1,서빙고동 -> 보광동 -> 반포3동 -> 반포본동,4,15.7
S25,총신대입구,2,청림동 -> 은천동,2,10.54
S25,총신대입구,3,난향동 -> 시흥2동 -> 삼성동,3,20.88
S25,총신대입구,4,대학동 -> 청룡동,2,13.52
S25,총신대입구,5,서원동 -> 난곡동,2,15.54
S25,총신대입구,6,보라매동 -> 신원동,2,14.56
S25,총신대입구,7,상도4동,1,11.31
